preco,quilometragem,ano,infomacoes
114.900,100.000 Km,2013,Volkswagen Fox 1.0 Trend Tec Total Flex 5p
29.990,71.000 Km,2012,Citroën C3 1.4 8v Glx Flex 5p
23.990,84.000 Km,2013,Volkswagen Fox 1.0 Trend Tec Total Flex 5p
28.990,10.800 Km,2019,Ford Ka 1.0 Se Flex 5p
47.879,23.000 Km,2017,Hyundai Hb20 1.0 Comfort Plus Flex 5p
48.889,104.000 Km,2008,Volkswagen Crossfox 1.6 Total Flex 5p
26.990,34.000 Km,2020,Ford Ka 1.0 Se Flex 5p
53.889,167.000 Km,2003,Volkswagen Gol City 1.6
12.800,59.000 Km,2018,Renault Kwid 1.0 12v Zen Sce 5p
36.500,54.000 Km,2017,Ford Ka 1.0 Se Flex 5p
41.879,87.000 Km,2014,Audi A3 Sportback
75.900,0 Km,2019,Hyundai Hb20 1.0 Unique Flex 5p
45.949,29.000 Km,2020,Volkswagen Gol 1.0 12v Total Flex 5p
44.500,0 Km,2021,Chevrolet Onix 1.0 Lt Turbo 5p
64.870,65.000 Km,2013,Citroën C3 1.6 Vti 16v Exclusive Flex Aut. 5p
34.990,119.000 Km,2014,Jac J3 1.4 16v 5p
23.890,44.000 Km,2015,Ford Focus 1.6 S Flex 5p
44.990,0 Km,2021,Hyundai Hb20 1.0 Sense Flex 5p
47.870,65.000 Km,2018,Volkswagen Polo 1.0 Tsi Highline 200 Aut. 5p
66.900,23.000 Km,2020,Fiat Argo 1.0 Drive Flex 5p
52.900,0 Km,2020,Chevrolet Onix 1.0 Lt 5p
59.870,80.276 Km,2012,Fiat Bravo 1.8 16v Essence Flex 5p
24.990,67.000 Km,2014,Hyundai Hb20 1.6 Comfort Plus Flex Aut. 5p
42.900,10.000 Km,2017,Nissan March 1.0 12v S 5p
27.900,53.000 Km,2013,Volkswagen Fox 1.0 Trend Tec Total Flex 5p
30.900,35.000 Km,2020,Fiat Argo 1.0 Drive Flex 5p
52.500,27.000 Km,2019,Fiat Uno 1.0 Way Flex 5p
