preco,quilometragem,ano,infomacoes
16.990,104.000 Km,2008,Citroën Xsara Picasso 1.6 Glx Flex 5p
43.900,77.000 Km,2018,Citroën Aircross Aircross Start 1.6 Flex 16v 5p Mec.
163.900,0 Km,2021,Citroën Jumpy Minibus
34.990,65.000 Km,2013,Citroën C3 1.6 Vti 16v Exclusive Flex Aut. 5p
129.900,0 Km,2021,Citroën Jumpy Furgão
84.900,111.360 Km,2014,Citroën Jumper 2.3 Hdi 33m 15l 5p
163.900,0 Km,2021,Citroën Jumpy Minibus
58.900,37.100 Km,2018,Citroën C4 Lounge 1.6 Thp S Flex Aut. 4p
89.900,100 Km,2014,Citroën Jumper 2.3 Hdi 16l 5p
35.900,105.000 Km,2014,Citroën Aircross 1.6 16v Glx Atacama Flex 5p
59.900,294.679 Km,2008,Citroën Jumper 2.8 Hdi 16l 5p
23.990,71.000 Km,2012,Citroën C3 1.4 8v Glx Flex 5p
83.900,1 Km,2013,Citroën Jumper 2.3 Hdi Vetrato 5p
37.889,112.000 Km,2012,Citroën Aircross 1.6 16v Exclusive Flex 5p
30.800,104.000 Km,2012,Citroën Aircross 1.6 16v Glx Flex 5p
53.900,1 Km,2007,Citroën Jumper Escolar
27.990,101.000 Km,2014,Citroën C3 C3 Tendance 1.5 8v (flex)
24.500,138.000 Km,2011,Citroën C4 Pallas Glx 2.0 Aut.
21.400,90.000 Km,2010,Citroën Xsara Picasso 1.6 Glx Flex 5p
26.890,140.000 Km,2009,Citroën C4 Picasso 2.0 5p
18.900,148.000 Km,2011,Citroën Xsara Picasso 1.6 I Glx 16v Flex 4p Manual
12.900,139.000 Km,2004,Citroën Xsara Picasso Citroën Xsara Picasso Exclusive 2.0 16v
55.000,500.000 Km,2007,Citroën Jumper Citroën Jumper 2.8 Passageiro M33m 16l
17.500,136.000 Km,2008,Citroën C4 Pallas 2.0 Glx Aut. 4p
71.500,10.000 Km,2020,Citroën C4 Cactus 1.6 Vti 120 Feel
85.790,18.303 Km,2019,Citroën C4 Cactus 1.6 Thp Shine Eat6
22.000,128.000 Km,2010,Citroën C4 Pallas 2.0 Exclusive Flex Aut. 4p
71.900,90.000 Km,2014,Citroën Jumper 2.3 Hdi F33c Furgão Teto Baixo Turbo Intercooler
16.990,96.000 Km,2011,Citroën C3 1.4 8v Glx Flex 5p
26.990,60.000 Km,2010,Citroën C4 Picasso C4 Picasso 2.0 16v Exclusive (aut)
26.900,101.100 Km,2011,Citroën C4 C4 Glx 1.6 (flex)
59.900,25.038 Km,2018,Citroën Aircross 1.6 Vti 120 Shine Eat6
41.900,143.686 Km,2011,Citroën C5 2.0 Mpfi Exclusive 16v
31.990,139.000 Km,2011,Citroën Aircross 1.6 16v Exclusive Flex 5p
9.999,85.650 Km,1999,Citroën Xsara 1.8 Glx Aut. 3p
70.000,14.900 Km,2020,Citroën C4 Cactus 1.6 Feel 16v Aut. 5p
33.900,58.000 Km,2013,Citroën Aircross Aircross Glx 1.6 Flex 16v 5p Mec.
26.990,86.000 Km,2014,Citroën C3 1.5 Origine Flex 5p
23.900,134.000 Km,2012,Citroën C4 2.0 Glx Flex Aut. 5p
15.900,121.000 Km,2008,Citroën C3 1.4 8v Glx Flex 5p
17.890,129.000 Km,2008,Citroën C3 1.4 8v Exclusive Flex 5p
17.900,119.000 Km,2010,Citroën C3 C3 Exclusive 1.4 8v (flex)
21.900,100.000 Km,2008,Citroën C3 Citroën C3 Xtr 1.4 8v (flex)
23.850,54.000 Km,2012,Citroën C3 1.4 8v Exclusive Flex 5p
35.900,29.900 Km,2014,Citroën C4 1.6 Tendance Flex 5p
33.500,78.000 Km,2010,Citroën C5 2.0 Exclusive Aut. 4p
27.000,89.500 Km,2013,Citroën Aircross 1.6 16v Glx Flex Aut. 5p
27.980,105.743 Km,2012,Citroën Xsara Picasso Xsara Picasso Exclusive 1.6 16v (flex)
21.900,98.000 Km,2012,Citroën Xsara Picasso 1.6 I Glx 16v Flex 4p Manual
27.800,102.000 Km,2013,Citroën C3 1.5 Tendance Flex 5p
163.900,0 Km,2021,Citroën Jumpy Minibus
129.900,0 Km,2021,Citroën Jumpy Furgão Furgão
163.900,0 Km,2021,Citroën Jumpy Minibus
20.900,83.000 Km,2012,Citroën C3 1.4 I Glx 8v Flex 4p Manual
31.900,76.000 Km,2014,Citroën C3 1.5 Tendance Flex 5p
39.990,159 Km,2011,Citroën C5 Exclusive
21.900,85.000 Km,2011,Citroën Xsara Picasso 1.6 Glx Flex 5p
24.890,165.064 Km,2010,Citroën C4 Pallas 2.0 Exclusive Pallas 16v
15.490,139.166 Km,2008,Citroën C3 1.4 8v Glx Flex 5p
30.990,86.000 Km,2011,Citroën Aircross 1.6 16v Exclusive Flex 5p
18.900,123.303 Km,2011,Citroën C3 1.4 I Glx 8v Flex 4p Manual
28.990,73.021 Km,2012,Citroën Aircross 1.6 16v Glx Flex 5p
17.900,90.000 Km,2008,Citroën C3 1.4 8v X-tr Flex 5p
35.999,39.995 Km,2015,Citroën C3 1.5 Attraction 8v Flex 4p Manual
19.890,74.000 Km,2010,Citroën C3 1.4 8v Glx Flex 5p
31.900,39.000 Km,2018,Citroën C3 1.2 Attraction Ptech Flex 5p
41.900,73.261 Km,2015,Citroën C4 Lounge 2.0 Mpfi Tendance 16v Flex 4p Automático
89.900,62.000 Km,2017,Citroën C4 Picasso C4 Picasso 1.6 16v Thp Intensive (aut)
38.990,102.000 Km,2015,Citroën C4 Lounge 1.6 Thp Tendance Flex Aut. 4p
16.000,180.000 Km,2008,Citroën C4 Pallas 2.0 Glx Aut. 4p
41.990,70.000 Km,2014,Citroën C4 C4 Lounge Tendance 2.0i (aut)
