motor,marca,modelo,preco,quilometragem,ano,informacoes
1.4,Chevrolet,Agile,25990,91000,2011,Agile 1.4 Lt 5p
1.4,Chevrolet,Agile,28900,123915,2013,Agile 1.4 Ltz 5p
1.4,Chevrolet,Agile,28000,91000,2013,Agile 1.4 Lt 5p
1.4,Chevrolet,Agile,26890,151000,2011,Agile 1.4 Mpfi Ltz 8v
1.4,Chevrolet,Agile,31990,106863,2014,Agile Agile 1.4 Ltz 8v Flex 4p Manual
,Chevrolet,Agile,29900,58000,2012,Agile Agile Ltz
1.4,Chevrolet,Agile,28999,97000,2012,Agile 1.4 Mpfi Ltz 8v Flex 4p Manual
1.4,Chevrolet,Agile,28990,97000,2010,Agile 1.4 Lt 5p
1.4,Chevrolet,Agile,26800,120300,2010,Agile 1.4 Ltz 5p
1.4,Chevrolet,Agile,25900,132000,2012,Agile 1.4 Lt 5p
1.4,Chevrolet,Agile,27900,108000,2013,Agile Agile Lt 1.4 8v (flex)
1.4,Chevrolet,Agile,32900,52341,2012,Agile 1.4 Mpfi Ltz 8v
1.4,Chevrolet,Agile,22320,0,2011,Agile 1.4 Mpfi Lt 8v Flex 4p Manual
1.4,Chevrolet,Agile,36900,90000,2014,Agile 1.4 Mpfi Ltz 8v
1.4,Chevrolet,Agile,28890,100061,2010,Agile 1.4 Mpfi Ltz 8v
1.4,Chevrolet,Agile,26990,180000,2010,Agile Agile 1.4 Mpfi Ltz 8v Flex 4p Manual 2010
1.4,Chevrolet,Agile,31900,92000,2014,Agile Agile Ltz 1.4 8v (flex)
1.4,Chevrolet,Agile,25900,87000,2011,Agile 1.4 Mpfi Lt 8v Flex 4p Manual
1.4,Chevrolet,Agile,28900,88000,2011,Agile Agile 1.4 Mpfi Lt 8v Flex 4p Manual
1.4,Chevrolet,Agile,26900,162310,2010,Agile 1.4 Mpfi Lt 8v Flex 4p Manual
1.4,Chevrolet,Agile,24990,124700,2010,Agile Agile Ltz 1.4 8v (flex)
1.4,Chevrolet,Agile,30490,94500,2013,Agile Agile Ltz 1.4 8v (flex)
1.4,Chevrolet,Agile,22990,89324,2011,Agile 1.4 Mpfi Ltz 8v
1.4,Chevrolet,Agile,29900,89184,2012,Agile 1.4 Mpfi Ltz 8v Flex 4p Manual
1.4,Chevrolet,Agile,29990,95500,2013,Agile 1.4 Ltz 8v Flexpower 5p
1.4,Chevrolet,Agile,31900,93479,2014,Agile Agile Ltz 1.4 8v (flex)
1.4,Chevrolet,Agile,34990,129583,2014,Agile 1.4 Mpfi Ltz 8v Flex 4p Manual
1.4,Chevrolet,Agile,32990,176700,2011,Agile Ltz 1.4
1.4,Chevrolet,Agile,33900,999999,2014,Agile Agile Ltz 1.4 8v (flex)
1.4,Chevrolet,Agile,26900,92816,2011,Agile 1.4 Mpfi Ltz 8v Flex 4p Manual
1.4,Chevrolet,Agile,29400,1,2013,Agile 1.4 Ltz Easytronic 5p
1.4,Chevrolet,Agile,25900,100000,2011,Agile Agile Hatch Lt 1.4 8v (flex) 4p
1.4,Chevrolet,Agile,29900,100,2012,Agile 1.4 Mpfi Ltz 8v Flex 4p Manual 2011/2012
1.4,Chevrolet,Agile,26500,"131,16",2012,Agile Agile Lt 1.4 Mpfi 8v Flexpower 5p
1.4,Chevrolet,Agile,26990,52000,2011,Agile 1.4 Mpfi Lt 8v
1.4,Chevrolet,Agile,25900,97000,2012,Agile 1.4 Mpfi Lt 8v Flex 4p Manual
,Chevrolet,Agile,28900,142000,2013,Agile Agile Ltz
1.4,Chevrolet,Agile,25900,87000,2011,Agile 1.4 Mpfi Ltz 8v Flex 4p Manual
1.4,Chevrolet,Agile,36900,104018,2014,Agile Agile 1.4 Mpfi Ltz 8v Flex 4p Automatizado
,Chevrolet,Agile,24900,110000,2010,Agile Chevrolet Agile Ltz
1.4,Chevrolet,Agile,27800,140000,2012,Agile Agile 1.4 Mpfi Ltz 8v Flex 4p Manual
,Chevrolet,Agile,25500,99999,2011,Agile Chevrolet Agile Lt
1.4,Chevrolet,Agile,36916,999999,2014,Agile 1.4 Mpfi Ltz 8v
1.4,Chevrolet,Agile,28900,0,2013,Agile 1.4 Mpfi Ltz 8v Flex 4p Manual
1.4,Chevrolet,Agile,25990,86322,2011,Agile 1.4 Mpfi Ltz 8v
1.4,Chevrolet,Agile,25990,108000,2011,Agile 1.4 Mpfi Ltz 8v
1.4,Chevrolet,Agile,29500,59800,2012,Gm Agile Ltz 1.4 Agile Ltz 1.4
1.4,Chevrolet,Agile,33900,122348,2013,Agile 1.4 Mpfi Ltz 8v
1.4,Chevrolet,Agile,25000,116000,2012,Agile 1.4 Ltz Wi-fi 5p
1.4,Chevrolet,Agile,27990,125000,2012,Agile 1.4 Mpfi Ltz 8v Flex 4o Manual
1.4,Chevrolet,Agile,21990,145326,2011,Agile Agile Lt 1.4 Mpfi 8v Flexpower 5p
1.4,Chevrolet,Agile,24990,90000,2011,Agile 1.4 Mpfi Ltz 8v Flex 4p Manual
1.4,Chevrolet,Agile,30900,100000,2013,Agile 1.4 Ltz 5p
1.4,Chevrolet,Agile,31790,131000,2012,Agile 1.4 Mpfi Ltz Wifi 8v
,Chevrolet,Agile,26900,124718,2013,Agile Agile Lt
1.4,Chevrolet,Agile,33990,10,2014,Agile 1.4 Ltz 5p
1.4,Chevrolet,Agile,22990,108050,2010,Agile 1.4 Lt 5p
1.4,Chevrolet,Agile,26900,100000,2010,Agile Chevrolet Agile Ltz 1.4
1.4,Chevrolet,Agile,25790,66592,2012,Agile 1.4 Lt 5p
1.4,Chevrolet,Agile,29900,86525,2013,Agile 1.4 Ltz Easytronic 5p
1.4,Chevrolet,Agile,32788,75300,2014,Agile 1.4 Mpfi Ltz 8v Flex 4p Automatizado
1.4,Chevrolet,Agile,28900,135108,2010,Agile 1.4 Mpfi Ltz 8v Flex 4p Manual
1.4,Chevrolet,Agile,30990,77000,2013,Agile Lt 1.4
1.4,Chevrolet,Agile,27900,102202,2011,Agile 1.4 Ltz Mpfi 8v Flexpower 5p
1.4,Chevrolet,Agile,31900,95180,2014,Agile Ltz 1.4 8v Easytronic Flex
,Chevrolet,Agile,28800,93000,2011,Agile Lt
1.4,Chevrolet,Agile,30800,96000,2013,Agile Chevrolet Agile 1.4 Flex Ltz Manual Completo
1.4,Chevrolet,Agile,26800,144000,2011,Agile Agile Ltz 1.4 Mpfi 8v Flexpower 5p
1.4,Chevrolet,Agile,30900,94000,2013,Agile Chevrolet Agile Ltz 1.4 8v (flex)
1.4,Chevrolet,Agile,25000,0,2010,Gm Agile Lt 1.4 Agile Lt 1.4
1.4,Chevrolet,Agile,30900,134482,2013,Agile 1.4 Mpfi Ltz 8v Flex 4p Manual
1.4,Chevrolet,Agile,26900,101000,2011,Agile Chevrolet Agile Ltz 1.4 8v (flex)
1.4,Chevrolet,Agile,31000,131800,2012,Agile Ltz 1.4 Mpfi 8v Econo.flex
1.4,Chevrolet,Agile,28900,88582,2011,Agile Agile Ltz 1.4 Mpfi 8v Flexpower 5p
1.4,Chevrolet,Agile,26900,165000,2011,Agile 1.4 8v
1.4,Chevrolet,Agile,31900,92828,2013,Agile 1.4 Mpfi Ltz 8v Flex 4p Manual
,Chevrolet,Agile,26900,99000,2011,Agile Chevrolet Agile Ltz
1.4,Chevrolet,Agile,28900,174138,2010,Agile 1.4 Mpfi Ltz 8v Flex 4p Manual
,Chevrolet,Agile,31900,161900,2013,Agile Ltz
1.4,Chevrolet,Agile,23900,77000,2011,Agile Agile 1.4 Ltz 8v Flex 4p Manual
1.4,Chevrolet,Agile,26900,94000,2011,Agile 1.4 Mpfi Ltz 8v Flex 4p Manual
1.4,Chevrolet,Agile,27900,145000,2013,Agile Chevrolet Agile Ltz 1.4 Flex
1.4,Chevrolet,Agile,25900,155000,2011,Agile Chevrolet Agile Lt 1.4 8v (flex)
1.4,Chevrolet,Agile,26990,93789,2012,Agile 1.4 Mpfi Lt 8v Flex 4p Manual
1.4,Chevrolet,Agile,30990,71905,2013,Agile Ltz 1.4 8v (flex)
1.4,Chevrolet,Agile,29900,85000,2013,Agile 1.4 Mpfi Ltz 8v Flex 4p Manual
1.4,Chevrolet,Agile,28900,167000,2011,Agile Agile 1.4 Mpfi Ltz 8v Flex 4p Manual
1.4,Chevrolet,Agile,30000,120000,2013,Agile 1.4 Mpfi Ltz 8v Flex 4p Manual
1.4,Chevrolet,Agile,24900,115200,2010,Agile 1.4 Mpfi Lt 8v Flex 4p Manual
1.4,Chevrolet,Agile,26900,102000,2010,Agile 1.4 8v
1.4,Chevrolet,Agile,26900,156202,2011,Agile 1.4 Mpfi Ltz 8v Flex 4p Manual
1.4,Chevrolet,Agile,27900,134250,2012,Agile Ltz 1.4
1.4,Chevrolet,Agile,33890,92000,2013,Agile 1.4 Mpfi Ltz 8v Flex 4p Automatizado
1.4,Chevrolet,Agile,27900,79072,2011,Agile Agile Lt 1.4 Mpfi 8v Flexpower 5p
1.4,Chevrolet,Agile,23990,100000,2010,Agile 1.4 Mpfi Ltz 8v Flex 4p Manual
1.4,Chevrolet,Agile,28900,125357,2011,Agile 1.4 Mpfi Ltz 8v Flex 4p Manual
2.0,Chevrolet,astra,27990,143000,2009,Astra 2.0 Advantage Flex Power 5p 133 Hp
2.0,Chevrolet,astra,23900,140000,2003,Astra Astra 2.0 Sfi Gsi 16v Gasolina 4p Manual
2.0,Chevrolet,astra,22990,98000,2010,Astra 2.0 Mpfi Advantage Sedan 8v
2.0,Chevrolet,astra,27990,105000,2009,Astra 2.0 Advantage Flex Power Aut. 5p 121 Hp
2.0,Chevrolet,astra,27900,112000,2011,Astra Sedan Astra Advantage 2.0 Mpfi 8v Flexpower 5p
2.0,Chevrolet,astra,18900,230000,2009,Astra 2.0 Advantage Flex Power 5p 133 Hp
2.0,Chevrolet,astra,22900,142000,2009,Astra Astra Hatch Advantage 2.0 (flex)
2.0,Chevrolet,astra,26900,43322,2007,Astra 2.0 Advantage Flex Power 5p
2.0,Chevrolet,astra,25900,190000,2009,Astra 2.0 Advantage Flex Power 5p 133 Hp
2.0,Chevrolet,astra,23900,130000,2011,Astra Sedan 2.0 Advantage Flex Power 4p
2.0,Chevrolet,astra,28990,82000,2001,Astra 2.0 Mpfi Sport 8v
2.0,Chevrolet,astra,30900,154000,2011,Astra 2.0 Mpfi Advant 8v
2.0,Chevrolet,astra,24000,123000,2009,Astra Sedan 2.0 Advantage Flex Power 4p 133 Hp
2.0,Chevrolet,astra,23900,92080,2007,Astra 2.0 Advantage Flex Power 5p
2.0,Chevrolet,astra,22900,128366,2009,Astra 2.0 Advantage Flex Power 5p 133 Hp
2.0,Chevrolet,astra,26900,121000,2011,Astra 2.0 Advantage Flex Power Aut. 5p
2.0,Chevrolet,astra,16490,210000,2005,Astra Sedan 2.0 Comfort Flex Power 4p
2.0,Chevrolet,astra,18899,124000,2002,Astra 2.0 16v 3p
2.0,Chevrolet,astra,20900,129000,2007,Astra 2.0 Advantage Flex Power 5p
2.0,Chevrolet,astra,26000,120000,2008,Astra Sedan 2.0 Advantage Flex Power 4p
2.0,Chevrolet,astra,27900,120000,2010,Astra 2.0 Advantage Flex Power 5p
2.0,Chevrolet,astra,22999,118112,2009,Astra 2.0 Advantage Flex Power 5p 133 Hp
2.0,Chevrolet,astra,16900,239429,1999,Astra Sedan 2.0 Gls 4p
2.0,Chevrolet,astra,25900,123633,2010,Astra 2.0 Mpfi Advantage 8v Flex 4p Manual
2.0,Chevrolet,astra,18900,190000,2002,Astra Sedan 2.0 8v 4p
2.0,Chevrolet,astra,22900,160000,2007,Astra 2.0 Advantage Flex Power 5p
2.0,Chevrolet,astra,21900,95000,2005,Astra 2.0 Comfort Flex Power 5p
2.0,Chevrolet,astra,22900,136000,2007,Astra 2.0 Mpfi Advantage 8v
2.0,Chevrolet,astra,23900,1,2006,Astra Astra 2.0 Mpfi Elegance 8v Flex 4p Manual
2.0,Chevrolet,astra,28900,109900,2011,Astra 2.0 Mpfi Advantage 8v Flex 4p Manual
,Chevrolet,astra,22990,136500,2007,Astra Sedan Astra Sed.advantage 2.0mpfi 16v  4p
2.0,Chevrolet,astra,23990,251156,2005,Astra 2.0 Mpfi Elite Sedan 8v
2.0,Chevrolet,astra,18900,142538,2003,Astra 2.0 Mpfi Cd 8v Gasolina 4p Manual
2.0,Chevrolet,astra,15900,170000,2002,Astra Sedan 2.0 Automática
2.0,Chevrolet,astra,21900,999999,2007,Astra Sedan Astra Sedan Advantage 2.0 (flex)
2.0,Chevrolet,astra,31990,40000,2009,Astra Chevrolet Astra Hatch Advantage 2.0 (flex)
2.0,Chevrolet,astra,19900,152000,2006,Astra 2.0 Mpfi Elegance Sedan 8v Flex 4p Automático
1.6,Chevrolet,astra,21500,1,2010,Astra 1.6
2.0,Chevrolet,astra,13900,179000,2000,Astra Sedan 2.0 Mpfi Gls Sedan 8v
2.0,Chevrolet,astra,19990,190000,2007,Astra 2.0 Mpfi Advantage 8v Flex 4p Manual
2.0,Chevrolet,astra,22500,170000,2011,Astra Advantage 2.0 8v Flex
2.0,Chevrolet,astra,24900,87000,2009,Astra Sedan 2.0 Advantage Flex Power Aut. 4p 121 Hp
2.0,Chevrolet,astra,19000,169000,2007,Astra 2.0 Advantage Flex Power 3p
2.0,Chevrolet,astra,19000,169000,2007,Astra 2.0 Advantage Flex Power 3p
2.0,Chevrolet,astra,22800,118000,2007,Astra 2.0 Advantage Flex Power 5p
1.8,Chevrolet,astra,10900,0,2001,Astra 1.8 Gl 3p
2.0,Chevrolet,astra,17500,154000,2006,Astra 2.0 Elite Flex Power Aut. 5p
2.0,Chevrolet,astra,47870,80000,2009,Astra Sedan 2.0 Advantage Flex Power 4p 121 Hp
1.8,Chevrolet,astra,20000,200000,2000,Astra 1.8 Gl 3p
2.0,Chevrolet,astra,13900,230000,2009,Astra 2.0 Advantage Flex Power 5p 133 Hp
2.0,Chevrolet,astra,18900,92080,2007,Astra 2.0 Advantage Flex Power 5p
2.0,Chevrolet,astra,23900,121000,2011,Astra 2.0 Advantage Flex Power Aut. 5p
2.0,Chevrolet,astra,26900,120000,2010,Astra 2.0 Advantage Flex Power 5p
2.0,Chevrolet,astra,27900,169000,2007,Astra 2.0 Advantage Flex Power 3p
2.0,Chevrolet,astra,19000,0,2000,Astra Sedan 2.0 16v Gls 4p
2.0,Chevrolet,astra,10900,170000,2007,Astra Sedan 2.0 Advantage Flex Power 4p
2.0,Chevrolet,astra,18999,122242,2008,Astra Sedan 2.0 Advantage Flex Power 4p
1.8,Chevrolet,astra,18900,271000,2003,Astra Sedan Astra Sedan 1.8 Mpfi  4p
2.0,Chevrolet,astra,15500,113649,2011,Astra Sedan 2.0 Advantage Flex Power Aut. 4p
2.0,Chevrolet,astra,28990,209403,2006,Astra 2.0 Advantage Flex Power 3p
2.0,Chevrolet,astra,18500,244,2008,Astra 2.0 Advantage Flex Power 5p
2.0,Chevrolet,astra,19990,76000,2010,Astra Sedan Astra Sed. Advant. 2.0 8v Mpfi Flexp. 4p
2.0,Chevrolet,astra,23990,135000,2002,Astra 2.0 8v Sunny 3p
2.0,Chevrolet,astra,26900,77500,2007,Astra 2.0 Advantage Flex Power Aut. 5p
2.0,Chevrolet,astra,25900,185600,2003,Astra Sedan 2.0 Sfi Cd Sedan 16v
2.0,Chevrolet,astra,19900,195265,2011,Astra 2.0 Mpfi Advantage 8v Flex 4p Manual
2.0,Chevrolet,astra,25900,159,2009,Astra Astra Hatch Advantage 2.0 8v 4p
2.0,Chevrolet,astra,25900,106523,2009,Astra 2.0 Mpfi Advantage 8v Flex 4p Manual
2.0,Chevrolet,astra,28900,257935,2002,Astra Sedan Astra Sed.gl Expression 2.0 4p
2.0,Chevrolet,astra,15900,170000,2004,Astra Sedan Astra Sedan 2.0 Mpfi Cd Sedan 8v Gasolina 4p Manual
2.0,Chevrolet,astra,19900,99900,2006,Astra 2.0 Mpfi Elegance 8v Flex 4p Manual
2.0,Chevrolet,astra,22900,50000,2005,Astra 2.0 16v Gsi 5p
2.0,Chevrolet,astra,59900,93000,2000,Astra 2.0 Mpfi Gls 8v Gasolina 2p Manual
2.0,Chevrolet,astra,24999,188000,2011,Astra 2.0 Mpfi Advantage 8v
2.0,Chevrolet,astra,26500,168337,2009,Astra 2.0 Especial Advantage Flex Power 5p 121 Hp
2.0,Chevrolet,astra,24990,223000,2004,Astra 2.0 8v 5p
,Chevrolet,astra,24900,200000,2000,Astra Gls
2.0,Chevrolet,astra,13900,82000,2001,Astra 2.0 Mpfi Sport 8v
1.8,Chevrolet,astra,29880,260530,2001,Astra 1.8 Gl 3p
2.0,Chevrolet,astra,13990,164758,2005,Astra Sedan 2.0 Comfort Flex Power 4p
2.0,Chevrolet,astra,19800,120000,2008,Astra Sedan 2.0 Elegance Flex Power 4p
2.0,Chevrolet,astra,21900,160000,2009,Astra Sedan 2.0 Advantage Flex Power 4p 133 Hp
2.0,Chevrolet,astra,23800,185600,2003,Astra 2.0 Mpfi Cd Sedan 8v Gasolina 4p Manual
2.0,Chevrolet,astra,19900,117,2004,Astra 2.0 8v Cd 5p
2.0,Chevrolet,astra,16500,0,2003,Astra 2.0 8v Aut. 5p
,Chevrolet,astra,18500,256000,2005,Astra Sedan Astra Sedan Flexpower 4p
1.8,Chevrolet,astra,19500,1,2000,Astra Sedan Astra Sedan 1.8 Mpfi Gl Sedan 8v Gasolina 4p Manual
2.0,Chevrolet,astra,11900,1,2009,Astra Sedan Astra Sedan 2.0 Mpfi Advantage Sedan 8v Flex 4p Manual
2.0,Chevrolet,astra,21900,233000,2000,Astra Sedan Astra Sedan 2.0 Mpfi  4p
