preco,quilometragem,ano,marca,modelo,informacoes
114900,100000,2013,volkswagem,Fox,1.0 Trend Tec Total Flex 5p
29990,71000,2012,citroen,C3,1.4 8v Glx Flex 5p
23990,84000,2013,volkswagem,Fox,1.0 Trend Tec Total Flex 5p
28990,10800,2019,ford,Ka,1.0 Se Flex 5p
47879,23000,2017,hyundai,Hb20,1.0 Comfort Plus Flex 5p
48889,104000,2008,volkswagem,Crossfox,1.6 Total Flex 5p
26990,34000,2020,ford,Ka,1.0 Se Flex 5p
53889,167000,2003,volkswagem,Gol,City 1.6
12800,59000,2018,renault,Kwid,1.0 12v Zen Sce 5p
36500,54000,2017,ford,Ka,1.0 Se Flex 5p
41879,87000,2014,audi,A3,Sportback
75900,0,2019,hyundai,Hb20,1.0 Unique Flex 5p
45949,29000,2020,volkswagem,Gol,1.0 12v Total Flex 5p
44500,0,2021,chevrolet,Onix,1.0 Lt Turbo 5p
64870,65000,2013,citroen,C3,1.6 Vti 16v Exclusive Flex Aut. 5p
34990,119000,2014,jac,J3,1.4 16v 5p
23890,44000,2015,ford,Focus,1.6 S Flex 5p
44990,0,2021,hyundai,Hb20,1.0 Sense Flex 5p
47870,65000,2018,volkswagem,Polo,1.0 Tsi Highline 200 Aut. 5p
66900,23000,2020,fiat,Argo,1.0 Drive Flex 5p
52900,0,2020,chevrolet,Onix,1.0 Lt 5p
59870,80276,2012,fiat,Bravo,1.8 16v Essence Flex 5p
24990,67000,2014,hyundai,Hb20,1.6 Comfort Plus Flex Aut. 5p
42900,10000,2017,nissan,March,1.0 12v S 5p
27900,53000,2013,volkswagem,Fox,1.0 Trend Tec Total Flex 5p
30900,35000,2020,fiat,Argo,1.0 Drive Flex 5p
52500,27000,2019,fiat,Uno,1.0 Way Flex 5p
39875,65000,2016,ford,Ka,1.0 Se Flex 5p
33900,24444,2019,volkswagem,Up!,Up! Move I Motion 1.0 T. Flex 12v 5p
48900,255,2000,fiat,Palio,1.0 Ex 3p Gasolina
7800,108000,2014,ford,Fiesta,1.0 Rocam Se Flex 5p
27980,28200,2019,hyundai,Hb20,1.0 Unique Flex 5p
46980,0,2020,chevrolet,Onix,1.0 Joy 5p
52990,160000,2014,fiat,Palio,1.4 Attractive Flex 5p
27900,10,2021,fiat,Argo,1.0 Drive Flex 5p
58500,0,2021,hyundai,Hb20,Sense
50870,70000,2014,peugeot,208,1.5 Allure Flex 5p
33990,99000,2012,fiat,Uno,1.0 Way Flex 5p
25888,118497,2012,ford,Ka,1.6 Sport Flex 3p
22500,57000,2014,fiat,Palio,1.6 16v Essence Flex Dualogic 5p
33899,24000,2020,chevrolet,Onix,1.0 Joy 5p
