preco,quilometragem,ano,marca,modelo,informacoes
16.990,104.000,2008,citroen,Xsara,Picasso 1.6 Glx Flex 5p
43.900,77.000,2018,citroen,Aircross,Aircross Start 1.6 Flex 16v 5p Mec.
163.900,0,2021,citroen,Jumpy,Minibus
34.990,65.000,2013,citroen,C3,1.6 Vti 16v Exclusive Flex Aut. 5p
129.900,0,2021,citroen,Jumpy,Furgão
84.900,111.360,2014,citroen,Jumper,2.3 Hdi 33m 15l 5p
163.900,0,2021,citroen,Jumpy,Minibus
58.900,37.100,2018,citroen,C4,Lounge 1.6 Thp S Flex Aut. 4p
89.900,100,2014,citroen,Jumper,2.3 Hdi 16l 5p
35.900,105.000,2014,citroen,Aircross,1.6 16v Glx Atacama Flex 5p
59.900,294.679,2008,citroen,Jumper,2.8 Hdi 16l 5p
23.990,71.000,2012,citroen,C3,1.4 8v Glx Flex 5p
83.900,1,2013,citroen,Jumper,2.3 Hdi Vetrato 5p
37.889,112.000,2012,citroen,Aircross,1.6 16v Exclusive Flex 5p
30.800,104.000,2012,citroen,Aircross,1.6 16v Glx Flex 5p
53.900,1,2007,citroen,Jumper,Escolar
27.990,101.000,2014,citroen,C3,C3 Tendance 1.5 8v (flex)
24.500,138.000,2011,citroen,C4,Pallas Glx 2.0 Aut.
21.400,90.000,2010,citroen,Xsara,Picasso 1.6 Glx Flex 5p
26.890,140.000,2009,citroen,C4,Picasso 2.0 5p
18.900,148.000,2011,citroen,Xsara,Picasso 1.6 I Glx 16v Flex 4p Manual
12.900,139.000,2004,citroen,Xsara,Picasso Citroën Xsara Picasso Exclusive 2.0 16v
55.000,500.000,2007,citroen,Jumper,Citroën Jumper 2.8 Passageiro M33m 16l
17.500,136.000,2008,citroen,C4,Pallas 2.0 Glx Aut. 4p
71.500,10.000,2020,citroen,C4,Cactus 1.6 Vti 120 Feel
85.790,18.303,2019,citroen,C4,Cactus 1.6 Thp Shine Eat6
22.000,128.000,2010,citroen,C4,Pallas 2.0 Exclusive Flex Aut. 4p
71.900,90.000,2014,citroen,Jumper,2.3 Hdi F33c Furgão Teto Baixo Turbo Intercooler
16.990,96.000,2011,citroen,C3,1.4 8v Glx Flex 5p
26.990,60.000,2010,citroen,C4,Picasso C4 Picasso 2.0 16v Exclusive (aut)
26.900,101.100,2011,citroen,C4,C4 Glx 1.6 (flex)
