marca,modelo,preco,quilometragem,ano,informacoes,motor
Chevrolet,Agile,25990.0,91000.0,2011,Agile 1.4 Lt 5p,1.4
Chevrolet,Agile,23499.0,78400.0,2011,Agile 1.4 Ltz 5p,1.4
Chevrolet,Agile,28900.0,123915.0,2013,Agile 1.4 Ltz 5p,1.4
Chevrolet,Agile,28000.0,91000.0,2013,Agile 1.4 Lt 5p,1.4
Chevrolet,Agile,31990.0,106863.0,2014,Agile Agile 1.4 Ltz 8v Flex 4p Manual,1.4
Chevrolet,Agile,29900.0,58000.0,2012,Agile Agile Ltz,
Chevrolet,Agile,26990.0,97000.0,2010,Agile 1.4 Lt 5p,1.4
Chevrolet,Agile,28999.0,97000.0,2012,Agile 1.4 Mpfi Ltz 8v Flex 4p Manual,1.4
Chevrolet,Agile,25900.0,132000.0,2012,Agile 1.4 Lt 5p,1.4
Chevrolet,Agile,26900.0,100000.0,2010,Agile Chevrolet Agile Ltz 1.4,1.4
Chevrolet,Agile,27900.0,108000.0,2013,Agile Agile Lt 1.4 8v (flex),1.4
Chevrolet,Agile,32900.0,52341.0,2012,Agile 1.4 Mpfi Ltz 8v,1.4
Chevrolet,Agile,22320.0,0.0,2011,Agile 1.4 Mpfi Lt 8v Flex 4p Manual,1.4
Chevrolet,Agile,36900.0,90000.0,2014,Agile 1.4 Mpfi Ltz 8v,1.4
Chevrolet,Agile,26990.0,180000.0,2010,Agile Agile 1.4 Mpfi Ltz 8v Flex 4p Manual 2010,1.4
Chevrolet,Agile,31900.0,92000.0,2014,Agile Agile Ltz 1.4 8v (flex),1.4
Chevrolet,Agile,28900.0,88000.0,2011,Agile Agile 1.4 Mpfi Lt 8v Flex 4p Manual,1.4
Chevrolet,Agile,26900.0,162310.0,2010,Agile 1.4 Mpfi Lt 8v Flex 4p Manual,1.4
Chevrolet,Agile,22990.0,89324.0,2011,Agile 1.4 Mpfi Ltz 8v,1.4
Chevrolet,Agile,29900.0,89184.0,2012,Agile 1.4 Mpfi Ltz 8v Flex 4p Manual,1.4
Chevrolet,Agile,30490.0,94500.0,2013,Agile Agile Ltz 1.4 8v (flex),1.4
Chevrolet,Agile,22900.0,97537.0,2010,Agile Agile Ltz 1.4 8v (flex),1.4
Chevrolet,Agile,29990.0,95500.0,2013,Agile 1.4 Ltz 8v Flexpower 5p,1.4
Chevrolet,Agile,31900.0,93479.0,2014,Agile Agile Ltz 1.4 8v (flex),1.4
Chevrolet,Agile,26800.0,60000.0,2011,Agile Ltz 1.4 Mpfi 8v Econo.flex,1.4
Chevrolet,Agile,24900.0,100000.0,2012,Agile 1.4 Mpfi Lt 8v Flex 4p Manual,1.4
Chevrolet,Agile,27900.0,79072.0,2011,Agile Agile Lt 1.4 Mpfi 8v Flexpower 5p,1.4
Chevrolet,Agile,34990.0,129583.0,2014,Agile 1.4 Mpfi Ltz 8v Flex 4p Manual,1.4
Chevrolet,Agile,24890.0,148339.0,2011,Agile 1.4 Mpfi Lt 8v Flex 4p Manual,1.4
Chevrolet,Agile,32990.0,176700.0,2011,Agile Ltz 1.4,1.4
Chevrolet,Agile,33900.0,999999.0,2014,Agile Agile Ltz 1.4 8v (flex),1.4
Chevrolet,Agile,26900.0,92816.0,2011,Agile 1.4 Mpfi Ltz 8v Flex 4p Manual,1.4
Chevrolet,Agile,27900.0,68000.0,2011,Agile Agile Ltz 1.4 Mpfi 8v Econo.flex Mec.,1.4
Chevrolet,Agile,29400.0,1.0,2013,Agile 1.4 Ltz Easytronic 5p,1.4
Chevrolet,Agile,25900.0,100000.0,2011,Agile Agile Hatch Lt 1.4 8v (flex) 4p,1.4
Chevrolet,Agile,26980.0,76002.0,2010,Agile Agile Ltz 1.4 8v (flex),1.4
Chevrolet,Agile,29900.0,100.0,2012,Agile 1.4 Mpfi Ltz 8v Flex 4p Manual 2011/2012,1.4
Chevrolet,Agile,26500.0,131016.0,2012,Agile Agile Lt 1.4 Mpfi 8v Flexpower 5p,1.4
Chevrolet,Agile,25900.0,97000.0,2012,Agile 1.4 Mpfi Lt 8v Flex 4p Manual,1.4
Chevrolet,Agile,25900.0,87000.0,2011,Agile 1.4 Mpfi Ltz 8v Flex 4p Manual,1.4
Chevrolet,Agile,36900.0,104018.0,2014,Agile Agile 1.4 Mpfi Ltz 8v Flex 4p Automatizado,1.4
Chevrolet,Agile,24900.0,110000.0,2010,Agile Chevrolet Agile Ltz,
