preco,quilometragem,ano,marca,modelo,informacoes
16990,104000,2008,citroen,Xsara,Picasso 1.6 Glx Flex 5p
43900,77000,2018,citroen,Aircross,Aircross Start 1.6 Flex 16v 5p Mec.
163900,0,2021,citroen,Jumpy,Minibus
34990,65000,2013,citroen,C3,1.6 Vti 16v Exclusive Flex Aut. 5p
129900,0,2021,citroen,Jumpy,Furgão
84900,111360,2014,citroen,Jumper,2.3 Hdi 33m 15l 5p
163900,0,2021,citroen,Jumpy,Minibus
58900,37100,2018,citroen,C4,Lounge 1.6 Thp S Flex Aut. 4p
89900,100,2014,citroen,Jumper,2.3 Hdi 16l 5p
35900,105000,2014,citroen,Aircross,1.6 16v Glx Atacama Flex 5p
59900,294679,2008,citroen,Jumper,2.8 Hdi 16l 5p
23990,71000,2012,citroen,C3,1.4 8v Glx Flex 5p
83900,1,2013,citroen,Jumper,2.3 Hdi Vetrato 5p
37889,112000,2012,citroen,Aircross,1.6 16v Exclusive Flex 5p
30800,104000,2012,citroen,Aircross,1.6 16v Glx Flex 5p
53900,1,2007,citroen,Jumper,Escolar
27990,101000,2014,citroen,C3,C3 Tendance 1.5 8v (flex)
24500,138000,2011,citroen,C4,Pallas Glx 2.0 Aut.
21400,90000,2010,citroen,Xsara,Picasso 1.6 Glx Flex 5p
26890,140000,2009,citroen,C4,Picasso 2.0 5p
18900,148000,2011,citroen,Xsara,Picasso 1.6 I Glx 16v Flex 4p Manual
12900,139000,2004,citroen,Xsara,Picasso Citroën Xsara Picasso Exclusive 2.0 16v
55000,500000,2007,citroen,Jumper,Citroën Jumper 2.8 Passageiro M33m 16l
17500,136000,2008,citroen,C4,Pallas 2.0 Glx Aut. 4p
71500,10000,2020,citroen,C4,Cactus 1.6 Vti 120 Feel
85790,18303,2019,citroen,C4,Cactus 1.6 Thp Shine Eat6
22000,128000,2010,citroen,C4,Pallas 2.0 Exclusive Flex Aut. 4p
71900,90000,2014,citroen,Jumper,2.3 Hdi F33c Furgão Teto Baixo Turbo Intercooler
16990,96000,2011,citroen,C3,1.4 8v Glx Flex 5p
26990,60000,2010,citroen,C4,Picasso C4 Picasso 2.0 16v Exclusive (aut)
26900,101100,2011,citroen,C4,C4 Glx 1.6 (flex)
59900,25038,2018,citroen,Aircross,1.6 Vti 120 Shine Eat6
41900,143686,2011,citroen,C5,2.0 Mpfi Exclusive 16v
