motor,marca,modelo,preco,quilometragem,ano,informacoes
1.4,Chevrolet,Agile,25990,91000.0,2011,Agile 1.4 Lt 5p
1.4,Chevrolet,Agile,28900,123915.0,2013,Agile 1.4 Ltz 5p
1.4,Chevrolet,Agile,28000,91000.0,2013,Agile 1.4 Lt 5p
1.4,Chevrolet,Agile,26890,151000.0,2011,Agile 1.4 Mpfi Ltz 8v
1.4,Chevrolet,Agile,31990,106863.0,2014,Agile Agile 1.4 Ltz 8v Flex 4p Manual
1.4,Chevrolet,Agile,28999,97000.0,2012,Agile 1.4 Mpfi Ltz 8v Flex 4p Manual
1.4,Chevrolet,Agile,28990,97000.0,2010,Agile 1.4 Lt 5p
1.4,Chevrolet,Agile,26800,120300.0,2010,Agile 1.4 Ltz 5p
1.4,Chevrolet,Agile,25900,132000.0,2012,Agile 1.4 Lt 5p
1.4,Chevrolet,Agile,27900,108000.0,2013,Agile Agile Lt 1.4 8v (flex)
1.4,Chevrolet,Agile,32900,52341.0,2012,Agile 1.4 Mpfi Ltz 8v
1.4,Chevrolet,Agile,22320,0.0,2011,Agile 1.4 Mpfi Lt 8v Flex 4p Manual
1.4,Chevrolet,Agile,36900,90000.0,2014,Agile 1.4 Mpfi Ltz 8v
1.4,Chevrolet,Agile,28890,100061.0,2010,Agile 1.4 Mpfi Ltz 8v
1.4,Chevrolet,Agile,26990,180000.0,2010,Agile Agile 1.4 Mpfi Ltz 8v Flex 4p Manual 2010
1.4,Chevrolet,Agile,31900,92000.0,2014,Agile Agile Ltz 1.4 8v (flex)
1.4,Chevrolet,Agile,25900,87000.0,2011,Agile 1.4 Mpfi Lt 8v Flex 4p Manual
1.4,Chevrolet,Agile,28900,88000.0,2011,Agile Agile 1.4 Mpfi Lt 8v Flex 4p Manual
1.4,Chevrolet,Agile,26900,162310.0,2010,Agile 1.4 Mpfi Lt 8v Flex 4p Manual
1.4,Chevrolet,Agile,24990,124700.0,2010,Agile Agile Ltz 1.4 8v (flex)
1.4,Chevrolet,Agile,30490,94500.0,2013,Agile Agile Ltz 1.4 8v (flex)
1.4,Chevrolet,Agile,22990,89324.0,2011,Agile 1.4 Mpfi Ltz 8v
1.4,Chevrolet,Agile,29900,89184.0,2012,Agile 1.4 Mpfi Ltz 8v Flex 4p Manual
1.4,Chevrolet,Agile,29990,95500.0,2013,Agile 1.4 Ltz 8v Flexpower 5p
1.4,Chevrolet,Agile,31900,93479.0,2014,Agile Agile Ltz 1.4 8v (flex)
1.4,Chevrolet,Agile,34990,129583.0,2014,Agile 1.4 Mpfi Ltz 8v Flex 4p Manual
1.4,Chevrolet,Agile,32990,176700.0,2011,Agile Ltz 1.4
1.4,Chevrolet,Agile,33900,999999.0,2014,Agile Agile Ltz 1.4 8v (flex)
1.4,Chevrolet,Agile,26900,92816.0,2011,Agile 1.4 Mpfi Ltz 8v Flex 4p Manual
1.4,Chevrolet,Agile,29400,1.0,2013,Agile 1.4 Ltz Easytronic 5p
1.4,Chevrolet,Agile,25900,100000.0,2011,Agile Agile Hatch Lt 1.4 8v (flex) 4p
1.4,Chevrolet,Agile,29900,100.0,2012,Agile 1.4 Mpfi Ltz 8v Flex 4p Manual 2011/2012
1.4,Chevrolet,Agile,26500,131016.0,2012,Agile Agile Lt 1.4 Mpfi 8v Flexpower 5p
1.4,Chevrolet,Agile,26990,52000.0,2011,Agile 1.4 Mpfi Lt 8v
1.4,Chevrolet,Agile,25900,97000.0,2012,Agile 1.4 Mpfi Lt 8v Flex 4p Manual
1.4,Chevrolet,Agile,25900,87000.0,2011,Agile 1.4 Mpfi Ltz 8v Flex 4p Manual
