marca,modelo,motor,ano,quilometragem,novo,preco
volkswagem,Fox,1.0,2013,100000,0,114900
citroen,C3,1.4,2012,71000,0,29990
volkswagem,Fox,1.0,2013,84000,0,23990
ford,Ka,1.0,2019,10800,0,28990
hyundai,Hb20,1.0,2017,23000,0,47879
volkswagem,Crossfox,1.6,2008,104000,0,48889
ford,Ka,1.0,2020,34000,0,26990
volkswagem,Gol,1.6,2003,167000,0,53889
renault,Kwid,1.0,2018,59000,0,12800
ford,Ka,1.0,2017,54000,0,36500
audi,A3,,2014,87000,0,41879
hyundai,Hb20,1.0,2019,0,1,75900
volkswagem,Gol,1.0,2020,29000,0,45949
chevrolet,Onix,1.0,2021,0,1,44500
citroen,C3,1.6,2013,65000,0,64870
jac,J3,1.4,2014,119000,0,34990
ford,Focus,1.6,2015,44000,0,23890
hyundai,Hb20,1.0,2021,0,1,44990
volkswagem,Polo,1.0,2018,65000,0,47870
fiat,Argo,1.0,2020,23000,0,66900
chevrolet,Onix,1.0,2020,0,1,52900
fiat,Bravo,1.8,2012,80276,0,59870
hyundai,Hb20,1.6,2014,67000,0,24990
nissan,March,1.0,2017,10000,0,42900
volkswagem,Fox,1.0,2013,53000,0,27900
fiat,Argo,1.0,2020,35000,0,30900
fiat,Uno,1.0,2019,27000,0,52500
ford,Ka,1.0,2016,65000,0,39875
volkswagem,Up!,1.0,2019,24444,0,33900
fiat,Palio,1.0,2000,255,0,48900
ford,Fiesta,1.0,2014,108000,0,7800
hyundai,Hb20,1.0,2019,28200,0,27980
chevrolet,Onix,1.0,2020,0,1,46980
fiat,Palio,1.4,2014,160000,0,52990
fiat,Argo,1.0,2021,10,0,27900
hyundai,Hb20,,2021,0,1,58500
peugeot,208,1.5,2014,70000,0,50870
fiat,Uno,1.0,2012,99000,0,33990
ford,Ka,1.6,2012,118497,0,25888
fiat,Palio,1.6,2014,57000,0,22500
chevrolet,Onix,1.0,2020,24000,0,33899
hyundai,Hb20,,2021,0,1,48970
renault,Clio,1.0,2016,92650,0,51980
volkswagem,Fox,1.0,2007,244444,0,25900
volkswagem,Fusca,2.0,2013,86800,0,13900
volkswagem,Fox,1.0,2013,1,0,65990
